ticker,risk_adjusted_score,sharpe_score,sortino_score,calmar_score,mdd_score,var_cvar_score,tier
AAPL,28.05,0.0,12.0,0.0,10.05,6.0,TIER_3_EXCLUDED
ABBV,54.0,0.0,18.0,15.0,15.0,6.0,TIER_3_EXCLUDED
ABT,20.05,0.0,0.0,0.0,10.05,10.0,TIER_3_EXCLUDED
ADBE,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
AMAT,28.0,0.0,18.0,10.0,0.0,0.0,TIER_3_EXCLUDED
AMC,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
AMD,12.0,0.0,12.0,0.0,0.0,0.0,TIER_3_EXCLUDED
AMT,4.95,0.0,0.0,0.0,4.95,0.0,TIER_3_EXCLUDED
AMZN,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
ARKK,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
ASML,12.0,0.0,12.0,0.0,0.0,0.0,TIER_3_EXCLUDED
AVGO,70.05,20.1,25.0,20.0,4.95,0.0,TIER_3_EXCLUDED
BA,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
BAC,4.95,0.0,0.0,0.0,4.95,0.0,TIER_3_EXCLUDED
BLK,4.95,0.0,0.0,0.0,4.95,0.0,TIER_3_EXCLUDED
BRK-B,53.0,0.0,18.0,10.0,15.0,10.0,TIER_3_EXCLUDED
C,16.95,0.0,12.0,0.0,4.95,0.0,TIER_3_EXCLUDED
CAT,50.05,0.0,25.0,15.0,10.05,0.0,TIER_3_EXCLUDED
CCI,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
CL,25.0,0.0,0.0,0.0,15.0,10.0,TIER_3_EXCLUDED
COIN,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
COP,38.05,0.0,18.0,10.0,10.05,0.0,TIER_3_EXCLUDED
COST,64.05,15.0,18.0,15.0,10.05,6.0,TIER_2_ACCEPTABLE
CRM,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
CVX,42.0,0.0,12.0,15.0,15.0,0.0,TIER_3_EXCLUDED
DDOG,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
DE,16.05,0.0,0.0,0.0,10.05,6.0,TIER_3_EXCLUDED
DHR,10.05,0.0,0.0,0.0,10.05,0.0,TIER_3_EXCLUDED
DIS,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
DLR,4.95,0.0,0.0,0.0,4.95,0.0,TIER_3_EXCLUDED
EOG,38.05,0.0,18.0,10.0,10.05,0.0,TIER_3_EXCLUDED
EQIX,4.95,0.0,0.0,0.0,4.95,0.0,TIER_3_EXCLUDED
GE,65.05,20.1,25.0,15.0,4.95,0.0,TIER_3_EXCLUDED
GIS,14.95,0.0,0.0,0.0,4.95,10.0,TIER_3_EXCLUDED
GME,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
GOOGL,47.95,15.0,18.0,10.0,4.95,0.0,TIER_3_EXCLUDED
GS,71.05,15.0,25.0,15.0,10.05,6.0,TIER_2_ACCEPTABLE
HD,16.05,0.0,0.0,0.0,10.05,6.0,TIER_3_EXCLUDED
HON,25.0,0.0,0.0,0.0,15.0,10.0,TIER_3_EXCLUDED
INTC,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
INTU,4.95,0.0,0.0,0.0,4.95,0.0,TIER_3_EXCLUDED
ISRG,4.95,0.0,0.0,0.0,4.95,0.0,TIER_3_EXCLUDED
JNJ,35.0,0.0,0.0,10.0,15.0,10.0,TIER_3_EXCLUDED
JPM,44.05,0.0,18.0,10.0,10.05,6.0,TIER_3_EXCLUDED
K,43.0,0.0,18.0,0.0,15.0,10.0,TIER_3_EXCLUDED
KLAC,70.05,20.1,25.0,20.0,4.95,0.0,TIER_3_EXCLUDED
KO,47.0,0.0,12.0,10.0,15.0,10.0,TIER_3_EXCLUDED
LLY,75.15,20.1,25.0,20.0,10.05,0.0,TIER_2_ACCEPTABLE
LMT,48.05,0.0,18.0,10.0,10.05,10.0,TIER_3_EXCLUDED
LOW,16.05,0.0,0.0,0.0,10.05,6.0,TIER_3_EXCLUDED
LRCX,35.0,0.0,25.0,10.0,0.0,0.0,TIER_3_EXCLUDED
MA,21.0,0.0,0.0,0.0,15.0,6.0,TIER_3_EXCLUDED
MCD,47.0,0.0,12.0,10.0,15.0,10.0,TIER_3_EXCLUDED
MDLZ,25.0,0.0,0.0,0.0,15.0,10.0,TIER_3_EXCLUDED
META,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
MPC,65.05,20.1,25.0,15.0,4.95,0.0,TIER_3_EXCLUDED
MRK,10.95,0.0,0.0,0.0,4.95,6.0,TIER_3_EXCLUDED
MS,50.05,0.0,25.0,15.0,10.05,0.0,TIER_3_EXCLUDED
MSFT,38.05,0.0,18.0,0.0,10.05,10.0,TIER_3_EXCLUDED
NET,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
NFLX,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
NKE,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
NOW,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
NVDA,65.1,20.1,25.0,20.0,0.0,0.0,TIER_3_EXCLUDED
O,20.05,0.0,0.0,0.0,10.05,10.0,TIER_3_EXCLUDED
PEP,20.05,0.0,0.0,0.0,10.05,10.0,TIER_3_EXCLUDED
PG,25.0,0.0,0.0,0.0,15.0,10.0,TIER_3_EXCLUDED
PLD,4.95,0.0,0.0,0.0,4.95,0.0,TIER_3_EXCLUDED
PLTR,18.0,0.0,18.0,0.0,0.0,0.0,TIER_3_EXCLUDED
PSA,10.05,0.0,0.0,0.0,10.05,0.0,TIER_3_EXCLUDED
PSX,16.95,0.0,12.0,0.0,4.95,0.0,TIER_3_EXCLUDED
QCOM,4.95,0.0,0.0,0.0,4.95,0.0,TIER_3_EXCLUDED
RIOT,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
RTX,76.15,20.1,25.0,15.0,10.05,6.0,TIER_2_ACCEPTABLE
SBUX,4.95,0.0,0.0,0.0,4.95,0.0,TIER_3_EXCLUDED
SCHW,4.95,0.0,0.0,0.0,4.95,0.0,TIER_3_EXCLUDED
SLB,4.95,0.0,0.0,0.0,4.95,0.0,TIER_3_EXCLUDED
SNOW,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
SOXL,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
TGT,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
TMO,4.95,0.0,0.0,0.0,4.95,0.0,TIER_3_EXCLUDED
TQQQ,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
TSLA,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
UNH,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
UPS,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
V,37.0,0.0,12.0,0.0,15.0,10.0,TIER_3_EXCLUDED
VICI,21.0,0.0,0.0,0.0,15.0,6.0,TIER_3_EXCLUDED
VLO,44.95,0.0,25.0,15.0,4.95,0.0,TIER_3_EXCLUDED
VRTX,25.0,0.0,0.0,10.0,15.0,0.0,TIER_3_EXCLUDED
WFC,43.05,0.0,18.0,15.0,10.05,0.0,TIER_3_EXCLUDED
WMT,73.0,15.0,18.0,15.0,15.0,10.0,TIER_2_ACCEPTABLE
XOM,75.0,15.0,25.0,20.0,15.0,0.0,TIER_2_ACCEPTABLE
